Relay Height,Gain,m,n,Time Delay,Amplitude,Time Period,Estimated m,Estimated n
1,6,8,2,6,11.12,19.83,7.7411364,2.050985372
1,2,9,3,2,1.377,13.316,9.365383289,3.173542649
1,5,7,4,4,4.057,16.024,6.528035386,4.001888473
1,3,6,4,8,3.023,23.527,4.524815379,3.994208141
1,2,10,3,7,2.85,23.068,9.509962908,3.09712555
1,8,10,1,8,26.94,22.868,10.30672985,1.114134328
1,6,7,2,7,9.969,20.281,5.924824215,2.044501635
1,6,2,10,6,2.701,19.957,1.16086269,8.532600854
1,6,8,4,4,5.026,16.581,7.546373659,4.005083328
1,6,10,5,2,2.282,12.235,10.35857348,5.578778189
1,7,10,1,4,24.92,18.65,9.507929036,1.035262614
1,5,9,7,6,3.265,21.576,7.755363312,6.591586388
1,2,2,2,7,2.153,18.106,0.871270831,2.227941424
1,3,8,8,8,2.033,26.134,6.075749003,7.33411167
1,8,7,3,6,9.994,19.745,6.533047308,3.021107488
1,8,4,1,4,19.56,13.51,3.935962993,1.073114859
1,7,6,3,2,4.459,11.402,6.266312145,3.236070459
1,8,7,1,2,17.54,13.635,6.362476737,1.003871816
1,4,10,2,6,8.314,21.147,9.868059893,2.015593558
1,6,10,4,2,3.05,13.089,10.57295143,4.274597414
1,1,8,3,2,0.6512,12.414,7.948235562,3.275997068
1,8,6,1,6,21.92,17.352,5.62033131,1.057840476
1,6,8,1,2,13.56,14.273,7.011603441,0.986730346
